app_id,app_name,mext_food_no,mext_food_name,DHA_mg_100g,EPA_mg_100g,DHA_EPA_mg_100g,comparison_serving_g,DHA_EPA_mg_serving,head_stars
"fish_001","しらす","10056","しらす干し/半乾燥品","570","200","770","10","77.0","1"
"fish_002","鮭","10134","しろさけ/生","460","240","700","60","420.0","2"
"fish_003","さば","10154","まさば/生","970","690","1660","60","996.0","3"
"fish_004","いわし","10047","まいわし/生","870","780","1650","60","990.0","3"
"fish_005","あじ","10003","まあじ/皮つき/生","570","300","870","60","522.0","2"
"fish_006","まぐろ赤身","10253","くろまぐろ/天然/赤身/生","120","27","147","60","88.2","1"
"fish_007","かつお","10087","かつお/秋獲り/生","970","400","1370","60","822.0","3"
"fish_008","ぶり","10241","ぶり/成魚/生","1700","940","2640","60","1584.0","3"
"fish_009","たら","10205","まだら/生","42","24","66","60","39.6","1"
"fish_010","ツナ缶","10263","まぐろ類/缶詰/油漬/フレーク/ライト","65","14","79","40","31.6","1"
"fish_011","さば缶","10164","さば類/缶詰/水煮","1300","930","2230","60","1338.0","3"
"fish_012","えび","10321","くるまえび/養殖/生","44","35","79","50","39.5","1"
"fish_013","ちくわ","10381","焼き竹輪","65","39","104","30","31.2","1"
"fish_014","かまぼこ","10379","蒸しかまぼこ","130","75","205","30","61.5","1"
"fish_015","魚肉ソーセージ","10388","魚肉ソーセージ","50","18","68","50","34.0","1"
"fish_016","いか","10345","するめいか/生","130","43","173","50","86.5","1"
"fish_017","たこ","10361","まだこ/皮つき/生","39","20","59","50","29.5","1"
